,date,economic_support_index
35645,2021-07-27,62.5
35646,2021-07-28,62.5
35647,2021-07-29,62.5
35648,2021-07-30,62.5
35649,2021-07-31,62.5
35650,2021-08-01,62.5
35651,2021-08-02,62.5
35652,2021-08-03,62.5
35653,2021-08-04,62.5
35654,2021-08-05,62.5
35655,2021-08-06,62.5
35656,2021-08-07,62.5
35657,2021-08-08,62.5
35658,2021-08-09,62.5
35659,2021-08-10,62.5
35660,2021-08-11,62.5
35661,2021-08-12,62.5
35662,2021-08-13,62.5
35663,2021-08-14,62.5
35664,2021-08-15,62.5
35665,2021-08-16,62.5
35666,2021-08-17,62.5
35667,2021-08-18,62.5
35668,2021-08-19,62.5
35669,2021-08-20,62.5
35670,2021-08-21,62.5
35671,2021-08-22,62.5
35672,2021-08-23,62.5
35673,2021-08-24,62.5
35674,2021-08-25,62.5
35675,2021-08-26,62.5
35676,2021-08-27,62.5
35677,2021-08-28,62.5
35678,2021-08-29,62.5
35679,2021-08-30,62.5
35680,2021-08-31,62.5
35681,2021-09-01,62.5
35682,2021-09-02,62.5
35683,2021-09-03,62.5
35684,2021-09-04,62.5
35685,2021-09-05,62.5
35686,2021-09-06,62.5
35687,2021-09-07,62.5
35688,2021-09-08,62.5
35689,2021-09-09,62.5
35690,2021-09-10,62.5
35691,2021-09-11,62.5
35692,2021-09-12,62.5
35693,2021-09-13,62.5
35694,2021-09-14,62.5
35695,2021-09-15,62.5
35696,2021-09-16,62.5
35697,2021-09-17,62.5
35698,2021-09-18,62.5
35699,2021-09-19,62.5
35700,2021-09-20,62.5
35701,2021-09-21,62.5
35702,2021-09-22,62.5
35703,2021-09-23,62.5
35704,2021-09-24,62.5
35705,2021-09-25,62.5
35706,2021-09-26,62.5
35707,2021-09-27,62.5
35708,2021-09-28,62.5
35709,2021-09-29,62.5
35710,2021-09-30,62.5
35711,2021-10-01,62.5
35712,2021-10-02,62.5
35713,2021-10-03,62.5
35714,2021-10-04,62.5
35715,2021-10-05,62.5
35716,2021-10-06,62.5
35717,2021-10-07,62.5
35718,2021-10-08,62.5
35719,2021-10-09,62.5
35720,2021-10-10,62.5
35721,2021-10-11,62.5
35722,2021-10-12,62.5
35723,2021-10-13,62.5
35724,2021-10-14,62.5
35725,2021-10-15,62.5
35726,2021-10-16,62.5
35727,2021-10-17,62.5
35728,2021-10-18,62.5
35729,2021-10-19,62.5
35730,2021-10-20,62.5
35731,2021-10-21,62.5
35732,2021-10-22,62.5
35733,2021-10-23,62.5
35734,2021-10-24,62.5
35735,2021-10-25,62.5
35736,2021-10-26,62.5
35737,2021-10-27,62.5
35738,2021-10-28,62.5
35739,2021-10-29,62.5
35740,2021-10-30,62.5
35741,2021-10-31,62.5
35742,2021-11-01,62.5
35743,2021-11-02,62.5
35744,2021-11-03,62.5
35745,2021-11-04,62.5
35746,2021-11-05,62.5
35747,2021-11-06,62.5
35748,2021-11-07,62.5
35749,2021-11-08,62.5
35750,2021-11-09,62.5
35751,2021-11-10,62.5
35752,2021-11-11,62.5
35753,2021-11-12,62.5
35754,2021-11-13,62.5
35755,2021-11-14,62.5
35756,2021-11-15,62.5
35757,2021-11-16,62.5
35758,2021-11-17,62.5
35759,2021-11-18,62.5
35760,2021-11-19,62.5
35761,2021-11-20,62.5
35762,2021-11-21,62.5
35763,2021-11-22,62.5
35764,2021-11-23,62.5
35765,2021-11-24,62.5
35766,2021-11-25,62.5
35767,2021-11-26,62.5
35768,2021-11-27,62.5
35769,2021-11-28,62.5
35770,2021-11-29,62.5
35771,2021-11-30,62.5
35772,2021-12-01,62.5
35773,2021-12-02,62.5
35774,2021-12-03,62.5
35775,2021-12-04,62.5
35776,2021-12-05,62.5
35777,2021-12-06,62.5
35778,2021-12-07,62.5
35779,2021-12-08,62.5
35780,2021-12-09,62.5
35781,2021-12-10,62.5
35782,2021-12-11,62.5
35783,2021-12-12,62.5
35784,2021-12-13,62.5
35785,2021-12-14,62.5
35786,2021-12-15,62.5
35787,2021-12-16,62.5
35788,2021-12-17,62.5
35789,2021-12-18,62.5
35790,2021-12-19,62.5
35791,2021-12-20,62.5
35792,2021-12-21,62.5
35793,2021-12-22,62.5
35794,2021-12-23,62.5
35795,2021-12-24,62.5
35796,2021-12-25,62.5
35797,2021-12-26,62.5
35798,2021-12-27,62.5
35799,2021-12-28,62.5
35800,2021-12-29,62.5
35801,2021-12-30,62.5
35802,2021-12-31,62.5
35803,2022-01-01,62.5
35804,2022-01-02,62.5
35805,2022-01-03,62.5
35806,2022-01-04,62.5
35807,2022-01-05,62.5
35808,2022-01-06,62.5
35809,2022-01-07,62.5
35810,2022-01-08,62.5
35811,2022-01-09,62.5
35812,2022-01-10,62.5
35813,2022-01-11,62.5
35814,2022-01-12,62.5
35815,2022-01-13,62.5
35816,2022-01-14,62.5
35817,2022-01-15,62.5
35818,2022-01-16,62.5
35819,2022-01-17,62.5
35820,2022-01-18,62.5
35821,2022-01-19,62.5
35822,2022-01-20,62.5
35823,2022-01-21,62.5
35824,2022-01-22,62.5
35825,2022-01-23,62.5
35826,2022-01-24,62.5
35827,2022-01-25,62.5
35828,2022-01-26,62.5
35829,2022-01-27,62.5
35830,2022-01-28,62.5
35831,2022-01-29,62.5
35832,2022-01-30,62.5
35833,2022-01-31,62.5
35834,2022-02-01,62.5
35835,2022-02-02,62.5
35836,2022-02-03,62.5
35837,2022-02-04,62.5
35838,2022-02-05,62.5
35839,2022-02-06,62.5
35840,2022-02-07,62.5
35841,2022-02-08,62.5
35842,2022-02-09,62.5
35843,2022-02-10,62.5
35844,2022-02-11,62.5
35845,2022-02-12,62.5
35846,2022-02-13,62.5
35847,2022-02-14,62.5
35848,2022-02-15,62.5
35849,2022-02-16,62.5
35850,2022-02-17,62.5
35851,2022-02-18,62.5
35852,2022-02-19,62.5
35853,2022-02-20,62.5
35854,2022-02-21,62.5
35855,2022-02-22,62.5
35856,2022-02-23,62.5
35857,2022-02-24,62.5
35858,2022-02-25,62.5
35859,2022-02-26,62.5
35860,2022-02-27,62.5
35861,2022-02-28,62.5
35862,2022-03-01,62.5
35863,2022-03-02,62.5
35864,2022-03-03,62.5
35865,2022-03-04,62.5
35866,2022-03-05,62.5
35867,2022-03-06,62.5
35868,2022-03-07,62.5
35869,2022-03-08,62.5
35870,2022-03-09,62.5
35871,2022-03-10,62.5
35872,2022-03-11,62.5
35873,2022-03-12,62.5
35874,2022-03-13,62.5
35875,2022-03-14,62.5
35876,2022-03-15,62.5
35877,2022-03-16,62.5
35878,2022-03-17,62.5
35879,2022-03-18,62.5
35880,2022-03-19,62.5
35881,2022-03-20,62.5
35882,2022-03-21,62.5
35883,2022-03-22,62.5
35884,2022-03-23,62.5
35885,2022-03-24,62.5
35886,2022-03-25,62.5
35887,2022-03-26,62.5
35888,2022-03-27,62.5
35889,2022-03-28,62.5
35890,2022-03-29,62.5
35891,2022-03-30,62.5
35892,2022-03-31,62.5
35893,2022-04-01,62.5
35894,2022-04-02,62.5
35895,2022-04-03,62.5
35896,2022-04-04,62.5
35897,2022-04-05,62.5
35898,2022-04-06,62.5
35899,2022-04-07,62.5
35900,2022-04-08,62.5
35901,2022-04-09,62.5
35902,2022-04-10,62.5
35903,2022-04-11,62.5
35904,2022-04-12,62.5
35905,2022-04-13,62.5
35906,2022-04-14,62.5
35907,2022-04-15,62.5
35908,2022-04-16,62.5
35909,2022-04-17,62.5
35910,2022-04-18,62.5
35911,2022-04-19,62.5
35912,2022-04-20,62.5
35913,2022-04-21,62.5
35914,2022-04-22,62.5
35915,2022-04-23,62.5
35916,2022-04-24,62.5
35917,2022-04-25,62.5
35918,2022-04-26,62.5
35919,2022-04-27,62.5
35920,2022-04-28,62.5
35921,2022-04-29,62.5
35922,2022-04-30,62.5
35923,2022-05-01,62.5
35924,2022-05-02,62.5
35925,2022-05-03,62.5
35926,2022-05-04,62.5
35927,2022-05-05,62.5
35928,2022-05-06,62.5
35929,2022-05-07,62.5
35930,2022-05-08,62.5
35931,2022-05-09,62.5
35932,2022-05-10,62.5
35933,2022-05-11,62.5
35934,2022-05-12,62.5
35935,2022-05-13,62.5
35936,2022-05-14,62.5
35937,2022-05-15,62.5
35938,2022-05-16,62.5
35939,2022-05-17,62.5
35940,2022-05-18,62.5
35941,2022-05-19,62.5
35942,2022-05-20,62.5
35943,2022-05-21,62.5
35944,2022-05-22,62.5
35945,2022-05-23,62.5
35946,2022-05-24,62.5
35947,2022-05-25,62.5
35948,2022-05-26,62.5
35949,2022-05-27,62.5
35950,2022-05-28,62.5
35951,2022-05-29,62.5
35952,2022-05-30,62.5
35953,2022-05-31,62.5
35954,2022-06-01,62.5
35955,2022-06-02,62.5
35956,2022-06-03,62.5
35957,2022-06-04,62.5
35958,2022-06-05,62.5
35959,2022-06-06,62.5
35960,2022-06-07,62.5
35961,2022-06-08,62.5
35962,2022-06-09,62.5
35963,2022-06-10,62.5
35964,2022-06-11,62.5
35965,2022-06-12,62.5
35966,2022-06-13,62.5
35967,2022-06-14,62.5
35968,2022-06-15,62.5
35969,2022-06-16,62.5
35970,2022-06-17,62.5
35971,2022-06-18,62.5
35972,2022-06-19,62.5
35973,2022-06-20,62.5
35974,2022-06-21,62.5
35975,2022-06-22,62.5
35976,2022-06-23,62.5
35977,2022-06-24,62.5
35978,2022-06-25,62.5
35979,2022-06-26,62.5
35980,2022-06-27,62.5
35981,2022-06-28,62.5
35982,2022-06-29,62.5
35983,2022-06-30,62.5
35984,2022-07-01,62.5
35985,2022-07-02,62.5
35986,2022-07-03,62.5
35987,2022-07-04,62.5
35988,2022-07-05,62.5
35989,2022-07-06,62.5
35990,2022-07-07,62.5
35991,2022-07-08,62.5
35992,2022-07-09,62.5
35993,2022-07-10,62.5
35994,2022-07-11,62.5
35995,2022-07-12,62.5
35996,2022-07-13,62.5
35997,2022-07-14,62.5
35998,2022-07-15,62.5
35999,2022-07-16,62.5
36000,2022-07-17,62.5
36001,2022-07-18,62.5
36002,2022-07-19,62.5
36003,2022-07-20,62.5
36004,2022-07-21,62.5
36005,2022-07-22,62.5
36006,2022-07-23,62.5
36007,2022-07-24,62.5
36008,2022-07-25,62.5
36009,2022-07-26,62.5
36010,2022-07-27,62.5
36011,2022-07-28,62.5
36012,2022-07-29,62.5
36013,2022-07-30,62.5
36014,2022-07-31,62.5
36015,2022-08-01,62.5
36016,2022-08-02,62.5
36017,2022-08-03,62.5
36018,2022-08-04,62.5
36019,2022-08-05,62.5
36020,2022-08-06,62.5
36021,2022-08-07,62.5
36022,2022-08-08,62.5
36023,2022-08-09,62.5
36024,2022-08-10,62.5
36025,2022-08-11,62.5
36026,2022-08-12,62.5
36027,2022-08-13,62.5
36028,2022-08-14,62.5
36029,2022-08-15,62.5
36030,2022-08-16,62.5
36031,2022-08-17,62.5
36032,2022-08-18,62.5
36033,2022-08-19,62.5
36034,2022-08-20,62.5
36035,2022-08-21,62.5
36036,2022-08-22,62.5
36037,2022-08-23,62.5
36038,2022-08-24,62.5
36039,2022-08-25,62.5
36040,2022-08-26,62.5
36041,2022-08-27,62.5
36042,2022-08-28,62.5
36043,2022-08-29,62.5
36044,2022-08-30,62.5
36045,2022-08-31,62.5
36046,2022-09-01,62.5
36047,2022-09-02,62.5
36048,2022-09-03,62.5
36049,2022-09-04,62.5
36050,2022-09-05,62.5
36051,2022-09-06,62.5
36052,2022-09-07,62.5
36053,2022-09-08,62.5
36054,2022-09-09,62.5
36055,2022-09-10,62.5
36056,2022-09-11,62.5
36057,2022-09-12,62.5
36058,2022-09-13,62.5
36059,2022-09-14,62.5
36060,2022-09-15,62.5
36061,2022-09-16,62.5
36062,2022-09-17,62.5
36063,2022-09-18,62.5
36064,2022-09-19,62.5
36065,2022-09-20,62.5
36066,2022-09-21,62.5
36067,2022-09-22,62.5
