,country_name,date,school_closing_c1m,workplace_closing_c2m,public_events_cancel_c3m,restrictions_on_gatherings_c4m,public_transpor_closing_c5m,stay_home_requirement_c6m,restrictions_internal_movement_c7m,international_travel_controls_c8ev,income_support_e1,debt_contract_relief_e2,public_information_campaigns_h1,testing_policy_h2,contact_tracing_h3,vaccines_investment_h5,facial_coverings_h6m,vaccination_policy_h7,protection_elderly_people_h8m,vaccine_prioritisation_s_v1,vaccine_availabitlity_s_v2a,vaccine_financial_support_s_v3,confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated,stringency_index_average,goverment_response_index_average,containment_health_index_average,economic_support_index
83785,India,2021-05-04,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,20664979.0,226188.0,NV,2.05,73.61,66.41,75.89,0.0
83786,India,2021-05-05,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,21077410.0,230168.0,NV,2.13,73.61,69.53,75.89,25.0
83787,India,2021-05-06,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,21491598.0,234083.0,NV,2.23,73.61,69.53,75.89,25.0
83788,India,2021-05-07,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,21892676.0,238270.0,NV,2.32,73.61,69.53,75.89,25.0
83789,India,2021-05-08,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,22296081.0,242347.0,NV,2.41,73.61,69.53,75.89,25.0
83790,India,2021-05-09,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,22662575.0,246116.0,NV,2.43,73.61,69.53,75.89,25.0
83791,India,2021-05-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,22992517.0,249992.0,NV,2.53,81.94,74.22,81.25,25.0
83792,India,2021-05-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,23340938.0,254197.0,NV,2.63,81.94,74.22,81.25,25.0
83793,India,2021-05-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,23703665.0,258317.0,NV,2.7,81.94,74.22,81.25,25.0
83794,India,2021-05-13,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,24046809.0,262317.0,NV,2.77,81.94,74.22,81.25,25.0
83795,India,2021-05-14,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,24372907.0,266207.0,NV,2.81,81.94,74.22,81.25,25.0
83796,India,2021-05-15,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,24684077.0,270284.0,NV,2.85,81.94,74.22,81.25,25.0
83797,India,2021-05-16,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2,2,4,24965463.0,274390.0,NV,2.86,81.94,74.22,81.25,25.0
